YEAR,MO,DY,HR,WS50M,Location,Latitude ,Longitude 
2013,1,15,6,6.51,Marsabit ,2.3286,37.9837
2013,1,15,7,7.4,Marsabit ,2.3286,37.9837
2013,1,15,8,8.71,Marsabit ,2.3286,37.9837
2013,1,15,9,8.68,Marsabit ,2.3286,37.9837
2013,1,15,10,8.42,Marsabit ,2.3286,37.9837
2013,1,15,11,8.15,Marsabit ,2.3286,37.9837
2013,1,15,12,7.96,Marsabit ,2.3286,37.9837
2013,1,15,13,8.07,Marsabit ,2.3286,37.9837
2013,1,15,14,8.37,Marsabit ,2.3286,37.9837
2013,1,15,15,8.61,Marsabit ,2.3286,37.9837
2013,1,15,16,8.68,Marsabit ,2.3286,37.9837
2013,1,15,17,8.48,Marsabit ,2.3286,37.9837
2013,1,15,18,7.97,Marsabit ,2.3286,37.9837
2013,1,15,19,7.6,Marsabit ,2.3286,37.9837
2013,1,15,20,7.23,Marsabit ,2.3286,37.9837
2013,1,15,21,6.92,Marsabit ,2.3286,37.9837
2013,1,15,22,6.61,Marsabit ,2.3286,37.9837
2013,1,15,23,6.26,Marsabit ,2.3286,37.9837
2013,1,16,0,5.89,Marsabit ,2.3286,37.9837
2013,1,16,1,6.06,Marsabit ,2.3286,37.9837
2013,1,16,2,7.18,Marsabit ,2.3286,37.9837
2013,1,16,3,7.65,Marsabit ,2.3286,37.9837
2013,1,16,4,7.59,Marsabit ,2.3286,37.9837
2013,1,16,5,7.82,Marsabit ,2.3286,37.9837
2013,1,16,6,7.49,Marsabit ,2.3286,37.9837
2013,1,16,7,8.14,Marsabit ,2.3286,37.9837
2013,1,16,8,8.47,Marsabit ,2.3286,37.9837
2013,1,16,9,8.52,Marsabit ,2.3286,37.9837
2013,1,16,10,8.52,Marsabit ,2.3286,37.9837
2013,1,16,11,8.33,Marsabit ,2.3286,37.9837
2013,1,16,12,7.94,Marsabit ,2.3286,37.9837
2013,1,16,13,7.73,Marsabit ,2.3286,37.9837
2013,1,16,14,7.8,Marsabit ,2.3286,37.9837
2013,1,16,15,7.87,Marsabit ,2.3286,37.9837
2013,1,16,16,7.89,Marsabit ,2.3286,37.9837
2013,1,16,17,7.83,Marsabit ,2.3286,37.9837
2013,1,16,18,7.64,Marsabit ,2.3286,37.9837
2013,1,16,19,7.71,Marsabit ,2.3286,37.9837
2013,1,16,20,7.91,Marsabit ,2.3286,37.9837
2013,1,16,21,8,Marsabit ,2.3286,37.9837
2013,1,16,22,7.98,Marsabit ,2.3286,37.9837
2013,1,16,23,7.96,Marsabit ,2.3286,37.9837
2013,1,17,0,8.08,Marsabit ,2.3286,37.9837
2013,1,17,1,8.42,Marsabit ,2.3286,37.9837
2013,1,17,2,8.73,Marsabit ,2.3286,37.9837
2013,1,17,3,8.15,Marsabit ,2.3286,37.9837
2013,1,17,4,7.2,Marsabit ,2.3286,37.9837
2013,1,17,5,6.88,Marsabit ,2.3286,37.9837
2013,1,17,6,6.48,Marsabit ,2.3286,37.9837
2013,1,17,7,8,Marsabit ,2.3286,37.9837
2013,1,17,8,8.54,Marsabit ,2.3286,37.9837
2013,1,17,9,8.35,Marsabit ,2.3286,37.9837
2013,1,17,10,8.2,Marsabit ,2.3286,37.9837
2013,1,17,11,7.91,Marsabit ,2.3286,37.9837
2013,1,17,12,7.58,Marsabit ,2.3286,37.9837
2013,1,17,13,7.26,Marsabit ,2.3286,37.9837
2013,1,17,14,7.01,Marsabit ,2.3286,37.9837
2013,1,17,15,6.91,Marsabit ,2.3286,37.9837
2013,1,17,16,7.04,Marsabit ,2.3286,37.9837
2013,1,17,17,7.26,Marsabit ,2.3286,37.9837
2013,1,17,18,7.76,Marsabit ,2.3286,37.9837
